Producto,Categoria,Fecha,Cantidad,Precio
Producto B,Categoria 1,2024-03-20,16,48.91
Producto C,Categoria 1,2024-06-03,14,49.21
Producto B,Categoria 1,2024-02-13,13,49.21
Producto A,Categoria 1,2023-10-17,19,38.55
Producto C,Categoria 2,2023-12-08,10,25.59
Producto B,Categoria 2,2024-02-29,19,31.89
Producto C,Categoria 1,2023-10-01,1,37.8
Producto B,Categoria 1,2024-01-15,19,25.13
Producto A,Categoria 2,2023-08-27,16,28.53
Producto C,Categoria 2,2023-10-10,17,29.34
Producto B,Categoria 1,2024-01-31,10,32.8
Producto C,Categoria 1,2024-03-25,8,30.43
Producto C,Categoria 2,2024-04-17,4,48.77
Producto A,Categoria 1,2024-01-18,14,25.76
Producto A,Categoria 2,2024-07-12,13,17.65
Producto B,Categoria 2,2024-08-03,5,47.45
Producto A,Categoria 1,2024-04-04,13,43.6
Producto C,Categoria 1,2024-02-15,10,39.55
Producto A,Categoria 2,2024-07-17,17,47.03
Producto A,Categoria 2,2023-09-28,7,10.45
Producto C,Categoria 1,2024-01-19,10,28.01
Producto B,Categoria 1,2023-10-24,15,21.41
Producto A,Categoria 1,2024-04-30,2,42.76
Producto C,Categoria 2,2024-05-15,18,29.5
Producto C,Categoria 1,2023-12-25,8,12.04
Producto C,Categoria 1,2024-05-07,8,31.94
Producto A,Categoria 1,2024-08-01,2,23.43
Producto A,Categoria 1,2023-08-19,19,44.39
Producto A,Categoria 1,2023-10-23,4,41.53
Producto C,Categoria 2,2024-07-09,1,18.07
Producto C,Categoria 2,2023-12-16,3,44.14
Producto C,Categoria 2,2023-12-25,11,11.38
Producto A,Categoria 2,2023-10-21,15,31.35
Producto A,Categoria 1,2023-08-21,6,48.88
Producto B,Categoria 2,2024-07-31,9,20.42
Producto C,Categoria 2,2024-01-10,3,27.78
Producto B,Categoria 1,2024-03-10,7,35.95
Producto C,Categoria 2,2024-02-02,14,40.83
Producto B,Categoria 1,2024-05-29,16,10.57
Producto B,Categoria 2,2023-12-31,8,35.22
Producto C,Categoria 1,2024-07-15,9,49.24
Producto A,Categoria 2,2024-05-03,7,10.83
Producto A,Categoria 2,2023-08-09,11,18.07
Producto A,Categoria 1,2023-10-21,8,33.78
Producto A,Categoria 2,2023-08-22,14,47.32
Producto C,Categoria 2,2024-05-24,13,46.58
Producto A,Categoria 1,2024-03-17,19,35.03
Producto B,Categoria 1,2024-06-22,10,11.65
Producto A,Categoria 2,2024-05-30,19,26.24
Producto A,Categoria 2,2024-05-28,19,29.92
Producto A,Categoria 2,2023-09-24,5,13.66
Producto B,Categoria 2,2024-05-21,10,21.72
Producto C,Categoria 2,2023-11-23,12,19.51
Producto A,Categoria 2,2024-01-07,10,31.39
Producto C,Categoria 2,2024-05-17,7,46.58
Producto C,Categoria 1,2023-08-09,7,26.53
Producto C,Categoria 2,2024-01-13,14,12.84
Producto B,Categoria 1,2024-06-25,2,42.05
Producto B,Categoria 1,2023-11-20,7,20.5
Producto A,Categoria 2,2024-07-01,17,42.39
Producto C,Categoria 1,2024-02-16,10,32.82
Producto C,Categoria 2,2024-01-11,9,49.36
Producto C,Categoria 1,2023-09-07,13,12.29
Producto A,Categoria 1,2023-10-04,19,20.92
Producto A,Categoria 1,2023-11-19,18,24.75
Producto B,Categoria 2,2024-06-12,11,27.74
Producto A,Categoria 1,2024-06-02,14,48.75
Producto B,Categoria 1,2023-09-08,2,36.67
Producto B,Categoria 1,2024-04-19,11,42.05
Producto B,Categoria 2,2023-10-07,5,48.56
Producto C,Categoria 2,2023-09-21,4,25.24
Producto C,Categoria 1,2024-05-29,15,45.95
Producto A,Categoria 1,2024-07-02,20,30.1
Producto A,Categoria 1,2024-03-11,7,14.62
Producto A,Categoria 1,2024-04-19,14,15.49
Producto B,Categoria 1,2023-10-09,17,40.09
Producto C,Categoria 2,2024-07-15,2,15.89
Producto A,Categoria 2,2024-07-09,12,39.27
Producto B,Categoria 2,2024-03-20,5,20.34
Producto A,Categoria 2,2023-09-11,4,23.93
Producto A,Categoria 1,2024-07-09,8,40.06
Producto A,Categoria 2,2023-08-11,1,45.13
Producto A,Categoria 1,2023-12-07,10,31.16
Producto A,Categoria 2,2024-05-19,18,44.12
Producto A,Categoria 1,2024-06-03,16,30.58
Producto B,Categoria 2,2023-12-16,15,20.72
Producto B,Categoria 2,2024-06-06,10,27.29
Producto B,Categoria 1,2024-07-18,2,24.6
Producto C,Categoria 2,2023-10-29,16,11.27
Producto B,Categoria 2,2023-08-31,3,38.34
Producto C,Categoria 2,2024-01-16,7,26.24
Producto C,Categoria 1,2023-11-15,4,32.2
Producto A,Categoria 2,2024-06-10,6,18.98
Producto B,Categoria 1,2023-12-12,6,22.28
Producto A,Categoria 1,2024-03-24,11,44.56
Producto C,Categoria 1,2023-09-22,17,36.17
Producto A,Categoria 2,2024-03-18,10,35.82
Producto B,Categoria 1,2024-07-02,4,38.46
Producto A,Categoria 2,2024-02-28,9,30.72
Producto C,Categoria 2,2024-03-30,2,24.15
